Sl. No,Year,District,No of station,Depth to Water Level (mbgl) - 0 - 2 - No,Depth to Water Level (mbgl) - 0 - 2 - %,Depth to Water Level (mbgl) - 45048 - No,Depth to Water Level (mbgl) - 45048 - %,Depth to Water Level (mbgl) - 45204 - No,Depth to Water Level (mbgl) - 45204 - %,Depth to Water Level (mbgl) - 44105 - No,Depth to Water Level (mbgl) - 44105 - %,Depth to Water Level (mbgl) - 20 - 40 - No,Depth to Water Level (mbgl) - 20 - 40 - %,Depth to Water Level (mbgl) - > 40 - No,Depth to Water Level (mbgl) - > 40 - %
1,2019,Ariyalur,4,2,50,1,25,1,25,0,0,0,0,0,0
2,2019,Chennai,10,1,10,5,50,4,40,0,0,0,0,0,0
3,2019,Coimbatore,32,6,18.8,11,34.4,4,12.5,6,18.8,4,12.5,1,3.1
4,2019,Cuddalore,22,6,27.3,5,22.7,3,13.6,1,4.5,2,9.1,5,22.7
5,2019,Dharmapuri,11,0,0,4,36.4,6,54.5,1,9.1,0,0,0,0
6,2019,Dindigul,27,5,18.5,5,18.5,8,29.6,7,25.9,2,7.4,0,0
7,2019,Erode,55,7,12.7,15,27.3,26,47.3,5,9.1,2,3.6,0,0
8,2019,Kancheepuram,22,3,13.6,14,63.6,5,22.7,0,0,0,0,0,0
9,2019,Kanyakumari,19,4,21.1,6,31.6,6,31.6,3,15.8,0,0,0,0
10,2019,Karur,9,3,33.3,2,22.2,3,33.3,1,11.1,0,0,0,0
11,2019,Krishnagiri,16,2,12.5,3,18.8,6,37.5,3,18.8,1,6.3,1,6.3
12,2019,Madurai,22,4,18.2,1,4.5,12,54.5,4,18.2,1,4.5,0,0
13,2019,Nagapattinam,9,6,66.7,2,22.2,0,0,1,11.1,0,0,0,0
14,2019,Namakkal,23,3,13,7,30.4,10,43.5,2,8.7,1,4.3,0,0
15,2019,Nilgiris,9,3,33.3,4,44.4,1,11.1,1,11.1,0,0,0,0
16,2019,Perambalur,12,1,8.3,5,41.7,5,41.7,1,8.3,0,0,0,0
17,2019,Pudukkottai,26,13,50,7,26.9,6,23.1,0,0,0,0,0,0
18,2019,Ramanathapuram,25,13,52,6,24,5,20,1,4,0,0,0,0
19,2019,Salem,22,3,13.6,7,31.8,6,27.3,6,27.3,0,0,0,0
20,2019,Sivaganga,16,4,25,2,12.5,6,37.5,4,25,0,0,0,0
21,2019,Thanjavur,12,5,41.7,6,50,1,8.3,0,0,0,0,0,0
22,2019,Theni,17,1,5.9,2,11.8,7,41.2,5,29.4,2,11.8,0,0
23,2019,Thiruvannamalai,20,6,30,7,35,6,30,1,5,0,0,0,0
24,2019,Tiruchirappalli,25,2,8,11,44,9,36,2,8,1,4,0,0
25,2019,Tirunelveli,44,22,50,9,20.5,10,22.7,3,6.8,0,0,0,0
26,2019,Tiruppur,18,8,44.4,2,11.1,5,27.8,3,16.7,0,0,0,0
27,2019,Tiruvallur,18,7,38.9,6,33.3,5,27.8,0,0,0,0,0,0
28,2019,Tiruvarur,7,5,71.4,1,14.3,1,14.3,0,0,0,0,0,0
29,2019,Tuticorin,28,15,53.6,7,25,6,21.4,0,0,0,0,0,0
30,2019,Vellore,30,5,16.7,4,13.3,8,26.7,11,36.7,2,6.7,0,0
31,2019,Villupuram,31,10,32.3,15,48.4,5,16.1,1,3.2,0,0,0,0
32,2019,Virudhunagar,14,2,14.3,6,42.9,4,28.6,2,14.3,0,0,0,0
Total,Total,Total,655,177,27,188,28.7,190,29,75,11.5,18,2.7,7,1.1
1,2020,Ariyalur,3,0,0,2,66.7,1,33.3,0,0,0,0,0,0
2,2020,Chennai,10,2,20,4,40,4,40,0,0,0,0,0,0
3,2020,Coimbatore,39,5,12.8,10,25.6,7,17.9,9,23.1,6,15.4,2,5.1
4,2020,Cuddalore,23,0,0,9,39.1,8,34.8,1,4.3,2,8.7,3,13
5,2020,Dharmapuri,10,0,0,5,50,4,40,1,10,0,0,0,0
6,2020,Dindigul,29,2,6.9,7,24.1,5,17.2,12,41.4,3,10.3,0,0
7,2020,Erode,52,5,9.6,19,36.5,18,34.6,8,15.4,1,1.9,1,1.9
8,2020,Kancheepuram,20,5,25,9,45,6,30,0,0,0,0,0,0
9,2020,Kanyakumari,19,3,15.8,4,21.1,9,47.4,3,15.8,0,0,0,0
10,2020,Karur,9,2,22.2,3,33.3,2,22.2,2,22.2,0,0,0,0
11,2020,Krishnagiri,16,3,18.8,2,12.5,7,43.8,2,12.5,1,6.3,1,6.3
12,2020,Madurai,25,5,20,2,8,11,44,6,24,1,4,0,0
13,2020,Nagapattinam,10,4,40,5,50,1,10,0,0,0,0,0,0
14,2020,Namakkal,23,3,13,8,34.8,8,34.8,3,13,1,4.3,0,0
15,2020,Nilgiris,9,2,22.2,5,55.6,1,11.1,1,11.1,0,0,0,0
16,2020,Perambalur,7,0,0,1,14.3,6,85.7,0,0,0,0,0,0
17,2020,Pudukkottai,22,5,22.7,11,50,6,27.3,0,0,0,0,0,0
18,2020,Ramanathapuram,24,11,45.8,6,25,6,25,1,4.2,0,0,0,0
19,2020,Salem,23,3,13,9,39.1,6,26.1,5,21.7,0,0,0,0
20,2020,Sivaganga,15,4,26.7,2,13.3,4,26.7,5,33.3,0,0,0,0
21,2020,Thanjavur,13,4,30.8,6,46.2,2,15.4,1,7.7,0,0,0,0
22,2020,Theni,15,1,6.7,1,6.7,10,66.7,1,6.7,2,13.3,0,0
23,2020,Thiruvannamalai,19,2,10.5,9,47.4,4,21.1,4,21.1,0,0,0,0
24,2020,Tiruchirappalli,25,6,24,5,20,10,40,3,12,1,4,0,0
25,2020,Tirunelveli,44,10,22.7,12,27.3,9,20.5,12,27.3,1,2.3,0,0
26,2020,Tiruppur,18,3,16.7,7,38.9,2,11.1,5,27.8,1,5.6,0,0
27,2020,Tiruvallur,14,6,42.9,4,28.6,4,28.6,0,0,0,0,0,0
28,2020,Tiruvarur,8,2,25,6,75,0,0,0,0,0,0,0,0
29,2020,Tuticorin,28,8,28.6,13,46.4,7,25,0,0,0,0,0,0
30,2020,Vellore,26,4,15.4,6,23.1,9,34.6,7,26.9,0,0,0,0
31,2020,Villupuram,30,2,6.7,13,43.3,14,46.7,1,3.3,0,0,0,0
32,2020,Virudhunagar,12,2,16.7,3,25,5,41.7,2,16.7,0,0,0,0
Total,Total,Total,640,114,17.8,208,32.5,196,30.6,95,14.8,20,3.1,7,1.1
1,2021,Ariyalur,4,3,75,0,0,1,25,0,0,0,0,0,0
2,2021,Chennai,9,5,55.6,4,44.4,0,0,0,0,0,0,0,0
3,2021,Coimbatore,25,6,24,3,12,5,20,8,32,1,4,2,8
4,2021,Cuddalore,20,10,50,1,5,2,10,0,0,2,10,5,25
5,2021,Dharmapuri,13,0,0,5,38.5,5,38.5,3,23.1,0,0,0,0
6,2021,Dindigul,27,7,25.9,9,33.3,7,25.9,3,11.1,1,3.7,0,0
7,2021,Erode,39,6,15.4,18,46.2,12,30.8,3,7.7,0,0,0,0
8,2021,Kancheepuram,23,16,69.6,4,17.4,3,13,0,0,0,0,0,0
9,2021,Kanyakumari,11,5,45.5,3,27.3,3,27.3,0,0,0,0,0,0
10,2021,Karur,7,2,28.6,1,14.3,4,57.1,0,0,0,0,0,0
11,2021,Krishnagiri,12,2,16.7,3,25,6,50,0,0,1,8.3,0,0
12,2021,Madurai,9,2,22.2,3,33.3,3,33.3,1,11.1,0,0,0,0
13,2021,Nagapattinam,6,4,66.7,1,16.7,0,0,1,16.7,0,0,0,0
14,2021,Namakkal,19,3,15.8,8,42.1,6,31.6,2,10.5,0,0,0,0
15,2021,Nilgiris,7,4,57.1,2,28.6,0,0,1,14.3,0,0,0,0
16,2021,Perambalur,10,6,60,4,40,0,0,0,0,0,0,0,0
17,2021,Pudukkottai,23,21,91.3,2,8.7,0,0,0,0,0,0,0,0
18,2021,Ramanathapuram,22,16,72.7,3,13.6,2,9.1,1,4.5,0,0,0,0
19,2021,Salem,25,7,28,9,36,5,20,4,16,0,0,0,0
20,2021,Sivaganga,10,4,40,4,40,2,20,0,0,0,0,0,0
21,2021,Thanjavur,10,7,70,2,20,0,0,1,10,0,0,0,0
22,2021,Theni,11,1,9.1,3,27.3,5,45.5,1,9.1,1,9.1,0,0
23,2021,Thiruvannamalai,18,4,22.2,6,33.3,7,38.9,1,5.6,0,0,0,0
24,2021,Tiruchirappalli,19,9,47.4,6,31.6,3,15.8,0,0,1,5.3,0,0
25,2021,Tirunelveli,41,16,39,10,24.4,11,26.8,4,9.8,0,0,0,0
26,2021,Tiruppur,15,7,46.7,3,20,4,26.7,1,6.7,0,0,0,0
27,2021,Tiruvallur,11,9,81.8,2,18.2,0,0,0,0,0,0,0,0
28,2021,Tiruvarur,6,6,100,0,0,0,0,0,0,0,0,0,0
29,2021,Tuticorin,26,13,50,9,34.6,4,15.4,0,0,0,0,0,0
30,2021,Vellore,23,8,34.8,6,26.1,4,17.4,5,21.7,0,0,0,0
31,2021,Villupuram,24,21,87.5,3,12.5,0,0,0,0,0,0,0,0
32,2021,Virudhunagar,16,0,0,5,31.3,9,56.3,2,12.5,0,0,0,0
Total,Total,Total,541,230,42.5,142,26.2,113,20.9,42,7.8,7,1.3,7,1.3
